id,brand,instagram_link,variant,variant_image_url,variant_link,concentration,rating,gender,size (ml),price,price_per_ml,top_notes1,top_notes2,top_notes3,mid_notes1,mid_notes2,mid_notes3,base_notes1,base_notes2,base_notes3
34,ALT Perfumery,,UPTOWN,,https://shopee.co.id/Alt-UPTOWN-Eau-de-parfum-perfume-100ml-i.478240323.8073150200?sp_atk=2eb25e77-aaa9-4705-a60c-1809f97e299b&xptdk=2eb25e77-aaa9-4705-a60c-1809f97e299b,EDP,4.9,Unisex,100,"299,000.00","2,990.00",Strawberry,Blackcurrant,Red Apple,Sweet Pea,Freesia,Jasmine,Raspberry,Musk,Sandalwood
35,Aromes,https://www.instagram.com/aromes.id/,Crazy Sexy,,https://shopee.co.id/aromes.id/19521086160,EDP,4.5,Feminime,50,"299,000.00","5,980.00",Raspberry,Lemon Peel,,Almond,Blackcurrant,Red Rose,Vanilla,Patchouli,Cashmere
36,Aromes,,Treasure,,https://shopee.co.id/Aromes-Treasure-EDP-50-ML-i.670809984.21921090564?xptdk=375c1c70-f036-4e7a-a98c-64a572614d43,EDP,4.8,Feminime,50,"299,000.00","5,980.00",Mandarin Orange,Grapefruit,Neroli,Peony,Jasmine,Tuberose,White Musk,Vetiver,Sandalwood
37,Ataraksia,https://www.instagram.com/ataraksia.id/,Societeit Harmonie,,https://shopee.co.id/ataraksia_id/7185449983,EDP,4.8,Unisex,55,"337,000.00","6,127.27",Chocolate,Raspberry,,Oud,Cinnamon,,Vanilla,Musk,
38,Ataraksia,,Telaga Srijantung,,https://shopee.co.id/Minyak-Wangi-Ataraksia-Telaga-Sritanjung-55-ML-Extrait-De-Perfume-i.323444176.8640718226?xptdk=dcfbd6e1-7d30-4098-a2ad-711a099e3d1e,EDP,4.7,Unisex,55,"337,000.00","6,127.27",Cemara,Lemon,Bergamot,Pinus,Incense,,Cendana,Amber,
39,Ataraksia,,Pulau Tuak,,https://shopee.co.id/Minyak-Wangi-Ataraksia-Pulau-Tuak-55-ML-Extrait-De-Perfume-i.323444176.8240714263?xptdk=d6c2c27a-f83a-4e30-bbd0-9e25e7a2676c,EDP,4.2,Unisex,55,"337,000.00","6,127.27",Rum,Aras,Daun Tamarind,Nutmeg,Patchouli,,Amber,Vanilla,Musk
40,Ataraksia,,Priyayi Mood,,https://shopee.co.id/Minyak-Wangi-Ataraksia-Priyayi-Mood-55-ML-Extrait-De-Perfume-i.323444176.8140725357?sp_atk=f6b4e8bc-ccf9-4f5e-9119-882bb28881ad&xptdk=f6b4e8bc-ccf9-4f5e-9119-882bb28881ad,EDP,4.4,Unisex,55,"337,000.00","6,127.27",Liquorice,Green,,Resin,Cashmere,Tobacco,Oud,Incense,
41,Ataraksia,,Gowok Chamber,,https://shopee.co.id/Minyak-Wangi-Ataraksia-Gowok-Chamber-55-ML-Extrait-De-Perfume-i.323444176.3985545729?sp_atk=82353a64-963a-484c-83a0-d8cd75887a3b&xptdk=82353a64-963a-484c-83a0-d8cd75887a3b,EDP,4.8,Unisex,55,"337,000.00","6,127.27",Lemon,Mandarin Orange,Kapulaga Jawa,Bulgarian Rose,Geranium,Davana,Incense,Oud,
42,Ataraksia,,Raden Saleh Callenberg,,https://shopee.co.id/Minyak-Wangi-Ataraksia-Raden-Saleh-Callenberg-55ml-Extrait-De-Perfume-i.323444176.9740699342?sp_atk=88c87268-3139-4ec7-9624-ee5835bae591&xptdk=88c87268-3139-4ec7-9624-ee5835bae591,EDP,4.9,Unisex,55,"337,000.00","6,127.27",Bergamot,Bunga Jeruk,Lavender,Geranium,Red Rose,Patchouli,Amber,Oakmoss,Vanilla
43,avantglossy,https://www.instagram.com/avantglossy/,Cloud County,,https://shopee.co.id/avantglossy/20009705276,EDP,4.4,Unisex,30,"115,000.00","3,833.33",Peony,May Rose,,Pink Pepper,,,White Musk,Vanilla,
